"Timestamp","Do you plan to vote in 2019 election?","According to your opinion, in your area which party has the highest possibility of wining the next presidential election ?","Who are you planning to vote in the coming election ?","Reason for above selection ?","What is the most important factor you will consider when voting ?","What is your age range?","Male / Female","What is your religion?","What is your highest educational qualification?","What is your current employment status ?","What is your ethnicity?","Your province?","District","Who do you think has the best expertise in the area of national security? ","Who do you think has the best expertise in the area of national development? ","Which candidate has the best answer for unemployment?","Which candidate has the best answer for cost of living?","Which candidate has the best answer to religious and ethnic issues?"
"2019/10/31 9:47:48 am GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Anura Kumara Dissanayake (National People's Power)","They do not need to election just only participate","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","","","","",""
"2019/11/04 2:27:48 pm GMT+5:30","Yes","National People's Party (NPP)","Mahesh Senanayake (National People's Party)","","National development","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Galle","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Other","","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:31:52 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","Comparatively better than the rest of them","Cost of living","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Sajith Premadasa","Mahesh Senanayake","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 2:37:12 pm GMT+5:30","No","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","I think he will be a better ruler than other presidents ","National security","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:40:28 pm GMT+5:30","Yes","National People's Party (NPP)","Sajith Premadasa (New Democratic Front)","He works for our country ","National development","Less than 25","Male","Buddhism","A/L","Private Sector employee","Sinhala","Southern","Galle","Sajith Premadasa","Mahesh Senanayake","Sajith Premadasa","Sajith Premadasa","Mahesh Senanayake"
"2019/11/04 2:40:46 pm GMT+5:30","Not sure","New Democratic Front (NDF)","Other","Lost","National development","Less than 25","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Other","Sajith Premadasa","Mahesh Senanayake"
"2019/11/04 2:44:10 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Other","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:44:36 pm GMT+5:30","No","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","Educational qualifications ","Cost of living","Less than 25","Female","Islam","Degree / Higher diploma or Professional qualification","Housewife","Sri Lankan Moor","Western","Colombo","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Anura Kumara Dissanayake"
"2019/11/04 2:47:34 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He is protect our country ","National security","Less than 25","Male","Buddhism","A/L","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 2:48:12 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","We donâ€™t want to go back to an era where people to live with fear ","Ethnic issues","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 2:53:22 pm GMT+5:30","Yes","National People's Party (NPP)","Mahesh Senanayake (National People's Party)","Major parties havent done anything as far as i know","National security","25 - 35","Male","Buddhism","A/L","Stuent","Sinhala","Southern","Galle","Mahesh Senanayake","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Mahesh Senanayake"
"2019/11/04 2:53:30 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","A/L","Self-employed","Sinhala","North Western","Puttalam","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Sajith Premadasa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 3:11:07 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Other","","National development","Less than 25","Male","Catholic","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 3:17:14 pm GMT+5:30","No","Sri Lanka Podujana Peramuna (SLPP)","Mahesh Senanayake (National People's Party)","Wadak karapu charithayak ","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 3:19:14 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","Greater than 55","Male","Catholic","Master's degree","Self-employed","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 4:06:45 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Sajith Premadasa (New Democratic Front)","Best chance at an average life ","National development","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","","Sajith Premadasa"
"2019/11/04 4:10:22 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Other","No clue on whom to vote as yet","National security","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Other","Other","Other","Other","Other"
"2019/11/04 4:15:10 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Other","","National development","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/04 4:32:33 pm GMT+5:30","Not sure","Sri Lanka Podujana Peramuna (SLPP)","Other","","National development","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Other","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 5:27:45 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","","National development","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Indian Tamil","Western","Colombo","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 6:13:07 pm GMT+5:30","Yes","New Democratic Front (NDF)","Sajith Premadasa (New Democratic Front)","Anyone but Gota tbh ","National development","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Stuent","Sinhala","Western","Colombo","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Anura Kumara Dissanayake","Mahesh Senanayake","Mahesh Senanayake"
"2019/11/04 6:20:20 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Other","","Religious issues","Less than 25","Female","Catholic","Degree / Higher diploma or Professional qualification","Self-employed","Sri Lankan Tamil","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa"
"2019/11/04 6:59:35 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He is the only suitable candidate with a proper plan ","National security","35 - 55","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 7:03:43 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 7:06:20 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 7:06:48 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Better than others ","National development","25 - 35","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 7:14:17 pm GMT+5:30","No","New Democratic Front (NDF)","Mahesh Senanayake (National People's Party)","N/A","National development","35 - 55","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Mahesh Senanayake"
"2019/11/04 7:21:42 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","He has a vision about srilanka","National security","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Galle","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 7:31:46 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 8:04:56 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","Employment opportunities","35 - 55","Female","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 8:25:28 pm GMT+5:30","Not sure","Other","Other","Not interested in 'Corrupted Politics'.","Other","25 - 35","Female","Buddhism","Degree / Higher diploma or Professional qualification","Unemployed","Sinhala","Western","Colombo","Mahesh Senanayake","Nandasena Gotabaya Rajapaksa","Other","Other","Other"
"2019/11/04 8:34:28 pm GMT+5:30","Yes","National People's Power (NPP)","Anura Kumara Dissanayake (National People's Power)","","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Nandasena Gotabaya Rajapaksa"
"2019/11/04 8:53:03 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","For the protection and development of the country","National development","Less than 25","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 9:10:18 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 9:11:46 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 9:43:34 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","25 - 35","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 9:49:08 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Mr. Gotabhaya and His party prioritises the national security, Development of the country and more importantly a secured  country for all Sinhala Buddhist to live our heads up high/peacefully. We all have seen them doing this once during their period. ","National security","35 - 55","Female","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 9:56:42 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Mr. Gotabhaya and His party prioritises the National Security and National Development and more importantly a well Secured country for all Sinhala Buddhists to live our head up high and peacefully. We have seen them doing this once and we can trust that they will do more to it this time. Sri Lanka will be in good hands when GR + MR  come to power. ","National security","35 - 55","Female","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 10:00:02 pm GMT+5:30","No","New Democratic Front (NDF)","Mahesh Senanayake (National People's Party)","N/A","National development","35 - 55","Male","Buddhism","Master's degree","Private Sector employee","Sinhala","Western","Colombo","Mahesh Senanayake","Sajith Premadasa","Sajith Premadasa","Sajith Premadasa","Mahesh Senanayake"
"2019/11/04 10:23:10 pm GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","A secure country","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/04 11:06:10 pm GMT+5:30","Yes","Other","Other","Trust ","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Central","Kandy","Mahesh Senanayake","Other","Other","Other","Other"
"2019/11/05 5:51:32 am GMT+5:30","No","Other","Other","NA","Other","Less than 25","Male","Islam","O/L","Stuent","Sinhala","Sabaragamuwa","Hambantota","Other","Other","Other","Other","Other"
"2019/11/05 5:51:48 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National security","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","","","",""
"2019/11/05 5:57:31 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Anura Kumara Dissanayake (National People's Power)","He is the most ideal candidate among all candidates. He is got a far sighted vision for country's economy also his political view does not support for racism ","National development","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake","Anura Kumara Dissanayake"
"2019/11/05 6:21:47 am GMT+5:30","Yes","New Democratic Front (NDF)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","Cost of living","25 - 35","Male","Catholic","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Gampaha","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 6:37:21 am GMT+5:30","Not sure","National People's Party (NPP)","Sajith Premadasa (New Democratic Front)","Suitable for the post ","National development","25 - 35","Female","Catholic","A/L","Private Sector employee","Sinhala","Western","Kalutara","Sajith Premadasa","Nandasena Gotabaya Rajapaksa","Sajith Premadasa","Anura Kumara Dissanayake","Other"
"2019/11/05 7:18:35 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 7:40:32 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Good person and direct discussion ","National development","25 - 35","Male","Buddhism","A/L","Self-employed","Sinhala","Western","Colombo","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 10:07:37 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","Grave person","National development","25 - 35","Male","Buddhism","Degree / Higher diploma or Professional qualification","Private Sector employee","Sinhala","Southern","Matara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
"2019/11/05 10:15:53 am GMT+5:30","Yes","Sri Lanka Podujana Peramuna (SLPP)","Nandasena Gotabaya Rajapaksa (Sri Lanka Podujana Peramuna)","","National development","35 - 55","Male","Buddhism","Degree / Higher diploma or Professional qualification","Government employee","Sinhala","Western","Kalutara","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa","Nandasena Gotabaya Rajapaksa"
